id,nome,settore_di_mercato,descrizione,finanziamenti,numero_investitori,valore_startup,valore_mercato_totale,numero_brevetti,numero_prodotti_attivi,stage,media_fatturato,tasso_di_crescita_dip,anni_di_attività,anno_creazione,città,stato,continente,budget_formazione,nuova_tecnologia,tipo_di_miglioramento_tecnologia,incremento_tec,numero_operatori,dip_ingegneri,dip_business,dip_vendite,dip_design,dip_informatica,dip_amministrativo,dip_controllo_qualità,dip_ricerca,dip_risorseumane,dip_assistenza,concorrente,fatturato_conc(B)
22,copan systems,tech,COPAN Systems e' un fornitore di soluzioni di archiviazione MAID per dati a lungo termine e persistenti,108.4M,10,99.48M,22.7B,15,1,dead,14.4M,+5%,8,2002,longmount,Colorado,North America,126K,video streaming ad alta qualita ,guadagni pubblicitari,+80%,4,4,7,13,0,6,1,0,0,0,1,VMware,3.71B
23,hubba,tech,Hubba e' una rete aziendale progettata per aiutare marchi e rivenditori a connettersi su opportunita  per far crescere la propria attivita ,58.67M,7,149.63M,14.93B,2,65,dead,5.8M,0%,10,2011,Toronto,Canada,North America,90K,ottimizzazione e applicazione wan,tempi di risposta,-75%,3,4,3,0,3,1,1,1,0,0,0,Convinctional,0.8B
24,gridco systems,tech,I prodotti dell'azienda consentiranno alle aziende di servizi pubblici di gestire attivamente la tensione e altri parametri chiave del sistema di distribuzione con precisione in tempo reale,54.5M,6,63.68M,14.93M,7,4,dead,6.7M,-6%,8,2010,Woburn,Massachusetts,North America,112K,gestione dei media sincronizzata,errori,-75%,0,4,0,0,1,1,2,1,0,2,2,Varrentec,0.5B
25,move networks,tech,Move Networks e' una piattaforma tecnologica di streaming che offre televisione live e multi-canale via internet agli utenti di PC TV e dispositivi mobili,60.3M,8,50M,8B,2,3,dead,2.8M,4%,11,2000,Irvine,California,North America,70K,uso di molteplici canali del cliente,costi,-80%,1,7,6,4,3,2,1,0,0,0,2,Akamai Technologies,1.15B
26,expand networks,tech,un'azienda tecnologica attiva nel mercato dell'ottimizzazione della rete di area estesa (WAN) fornisce soluzioni di prossimita  virtuale su WAN,69M,27,90M,3B,2,3,dead,9.8M,0%,14,1998,Roseland,New Jersey,North America,114.8K,messaggistica multipiattaforma,tempi,-75%,3,4,1,1,0,10,2,1,0,1,3,Riverbed Technology,0.836B
27,DoubleTwist,tech,doubleTwist e' una societa  di media digitali che consente ai suoi utenti di inviare foto e video ad altri,83.57M,16,150M,9.4B,5,17,dead,0.43M,0%,11,1991,Oakland,California,North America,12K,statistiche su prestazioni,tempi,-85%,0,0,4,1,0,1,1,0,0,0,1,youtube,1B
28,layer,tech,Layer gestisce il livello di comunicazione aperto per Internet,37.05M,18,130M,508B,7,35,dead,9M,0%,6,2013,San Francisco,California,North America,241.5K,piattaforma per pubblicare pubblicita ,monetizzazione,+90%,4,3,2,2,0,2,3,0,0,0,2,IBN Watson,77B
29,plaxo,tech,Plaxo aiuta le persone in tutto il mondo a rimanere in contatto con le persone importanti sia nel lavoro che nella vita,35.02M,9,150M,3.8B,5,7,dead,2.4M,-60%,16,2001,Sunnyvale,California,North America,60K,indicizzazione migliore delle pagine,precisione,+90%,2,4,5,1,1,3,2,4,0,0,1,Salesforce CRM,8.43B
30,Carrier IQ,tech,Carrier IQ e' una piattaforma di intelligenza dei servizi mobili che fornisce analisi diagnostiche degli utenti di smartphone agli OEM e agli operatori wireless,42M,8,98.09M,5B,5,7,dead,8.3M,-3%,10,2005,Mountain View,California,North America,89.6K,piattaforma in tempo reale di replica e recupero dati,perdita di dati,-95%,0,11,1,0,2,2,4,3,2,0,1,AirWatch,0.15B
31,adbrite,tech,AdBrite e' una piattaforma di scambio pubblicitario che fornisce trasparenza a livello di sito nonchaÂ© capacita  di rilevanza e video per gli inserzionisti,1.5M,2,35.09M,42.6B,4,4,dead,1.5M,0%,11,2003,San Francisco,California,North America,37.4K,innovazione nell'identificazione biometrica,tempi,-90%,0,1,1,2,0,1,1,0,0,0,3,Conversant,0.57B
32,cuil,tech,Cuil e' un motore di ricerca che combina l'indice web con metodi di rilevanza basati sul contenuto,33M,3,200.93M,42.6B,7,1,dead,217.5K,-40%,2,2008,Menlo Park,California,North America,10K,analisi dei dati automatica,costi,-85%,1,1,1,1,0,0,1,1,1,1,0,Yahoo,1.6B
33,asempra technologies,tech,Asempra Technologies e' una societa  di software che offre soluzioni di gestione del ripristino per le applicazioni e i dati di Windows,29M,5,75.2M,20B,9,5,dead,1M,0%,6,2003,Santa Clara,California,North America,30K,piattaforma che fa visualizzare camera ad utenti,precisione,+80%,0,1,1,3,0,1,3,1,0,1,0,Symantec,6.15B
34,FST biometrics,tech,FST fornisce soluzioni di accesso sicuro senza soluzione di continuita ,20M,2,70M,15B,5,7,dead,7.5M,-16%,11,2007,Rishon LeTsiyon,Israel,Asia,48K,tecnologia di pagamento e ritiro,tempi,-75%,2,5,1,0,0,5,1,2,2,1,2,Fulcrum Biometrics,0.4B
35,protonn,tech,Protonn e' una soluzione completa per potenziare i professionisti indipendenti,9M,9,30M,36B,2,6,dead,0.435M,0%,2,2020,San Jose,California,North America,10.8K,piattaforma immersiva e interattiva,costi,-85%,3,1,0,0,0,0,1,1,0,1,1,Clairvoyant,1.4B
36,modsy,tech,Modsy sfrutta la visione artificiale la cattura in 3D e gli strumenti di rendering fotorealistici per consentire ai consumatori di visualizzare idee di design nel contesto delle proprie case,70.75M,14,86.6M,497B,4,38,dead,17.2M,-31%,7,2015,San Francisco,California,North America,340K,piattaforma per video brevi,tempi,-85%,7,14,10,3,0,2,4,0,1,2,3,Havenly,0.15B
37,Fast,tech,Fast fornisce soluzioni di accesso e pagamento online progettate per offrire agli utenti un'esperienza di shopping sicura,124.5M,11,170M,4.22B,2,20,dead,146.7M,+3%,3,2019,San Francisco,California,North America,1972K,rete internet aerea,costi,-90%,143,90,63,74,25,26,44,0,16,24,5,Burger King,1.9B
38,madefire,tech,Madefire offre un'esperienza di collaborazione reinventata per gli autori e gli scrittori dietro le storie,12.8M,12,73M,5B,1,11,dead,1.5M,0%,9,2012,Berkeley,California,North America,21.6K,algoritmi di trading,costi,-80%,2,0,1,0,0,0,1,0,0,1,1,Kavita,0.015B
39,quibi,tech,Quibi e' una societa  media che sviluppa contenuti multimediali di breve durata progettati per smartphone,1.75B,18,2B,106B,1,7,dead,11.2M,-67%,3,2018,Los Angeles,California,North America,157.5K,Piattaforma per caratteristiche basate sui dati,tempi,-90%,22,1,6,1,0,8,5,1,0,0,0,Disney,18B
40,loon,tech,Loon e' una rete di palloni ad alta quota utilizzata per fornire una copertura internet stabile al suolo,125M,2,200M,300B,470,5,dead,18.9M,0%,3,2018,Mountain View,California,North America,108.5K,test ricerca e esecuzione di algoritmi,tempi,-95%,7,6,4,1,1,2,1,0,0,1,0,Amazon Kuiper,10B
41,quantopian,fintech,Quantopian sviluppa una piattaforma di scienza dei dati per la finanza quantitativa,51.48M,8,87.69M,87.69M,0,30,dead,0.065M,-17%5,9,2011,Boston,Massachusetts,North America,20K,Batteria agli ioni,efficenza,+85%,0,3,2,1,0,1,1,0,1,0,1,Numerai,0.5B
42,Superdata research,tech,SuperData e' il principale fornitore di raccomandazioni di mercato sui giochi digitali e sui media interattivi,1M,2,30M,180B,0,15,dead,4.1M,+39%,4,2017,New York,New York,North America,75K,Produzione di biocarburanti cellulosici,costi,-80%,5,5,1,0,0,2,1,0,0,1,1,Steam,10B
43,Jumpshot,tech,Jumpshot fornisce una suite di prodotti di analisi marketing che offre alle aziende una visione dettagliata e accurata della vita online dei propri clienti,83M,2,174.29M,327B,1,28,dead,0.44M,+12%,5,2015,San Francisco,California,North America,47.5K,camion autonomi,efficenza,+85%,1,3,4,3,1,0,1,2,1,2,1,Moz,0.019B
44,Aquion Energy,tech,Aquion Energy e' un'azienda che produce batterie al sodio e sistemi di accumulo di energia,196.63M,21,216.89M,160B,30,35,dead,15.5M,0%,9,2008,Pittsburg,Pennsylvania,North America,335K,raccolta di dati aerei,tempi,-95%,10,4,3,4,7,5,6,7,1,2,10,3GSolar Photovoltaics,0.015B
45,kior,tech,KiOR ha sviluppato una piattaforma tecnologica proprietaria per convertire la biomassa in petrolio greggio rinnovabile,252.9M,4,1490M,86.2B,10,15,dead,8.8M,0%,8,2007,Pasadena,Texas,North America,135K,automatizzazione di processi di produzione,costi,-85%,18,2,4,0,1,1,4,0,7,1,0,Fulcrum BioEnergy,0.1B
46,Starsky Robotics,tech,Starsky Robotics e' un'azienda di camion autonomi che mira a rendere le strade piu sicure,20.25M,13,54.92M,95B,7,6,dead,1.4M,-20%,4,2016,San Francisco,California,North America,40K,Tecnologia dei display elettro-bagnati,costi,+75%,4,2,0,0,0,0,1,1,3,0,0,TuSimple,2B
47,Airware,tech,Airware fornisce droni commerciali,101.02M,19,300M,19.89B,26,38,dead,18.1M,+16%,7,2011,San Francisco,California,North America,199.5K,controlli multipli con unica interfaccia,tempi,-95%,10,6,11,5,2,4,1,1,0,0,0,PrecisionHawk,0.14B
48,pearl automation,tech,Pearl Automation e' focalizzata sullo sviluppo delle tecnologie di base nel settore dei veicoli autonomi,2.1M,4,130M,50B,4,10,dead,2.1M,+8%,3,2014,Scotts Valley,California,North America,63K,prenotazione per controlli alle auto,tempi,-90%,1,6,2,0,0,0,1,0,0,0,1,Fideltus Advanced Technology,0.1B
49,Liquavista,tech,Liquavista e' un'azienda di produzione di display che offre display elettro-bagnati,35.6M,9,100M,157B,6,11,dead,4.1M,-4%,12,2006,Eindhoven,Netherlands,Europe,91.2K,tecnologia 3D,tempi,-90%,4,9,1,0,0,0,1,7,0,0,0,Mirasol,0.001B
50,bluesmart,tech,Bluesmart sviluppa prodotti per viaggi connessi a Internet che includono prodotti fisici combinati con software,27.35M,22,49.61M,1.2B,3,5,dead,3.6M,+5%,5,2013,San Francisco,California,North America,63K,contenuti di alta qualita  in poco tempi,tempi,-95%,11,0,3,3,0,1,1,0,0,0,1,Peel Technologies,0.13B
51,GoMechanic,tech,GoMechanic fornisce una piattaforma online per il servizio auto che aiuta gli utenti a pianificare vari servizi per l'auto,67.85M,10,30.38M,990B,0,19,series,233.1M,-25%,8,2016,Gurugram,India,Asia,807K,creare comunita  online,tempi,-80%,116,32,128,185,16,37,14,0,9,9,214,Wrench,0.5B
52,agave,tech,Agave fornisce un'API unificata per l'accesso ai dati su diverse piattaforme software per la costruzione,3.5M,2,100M,10B,3,35,seed,1.2M,0%,3,2021,Claymont,Delaware,North America,35K,tecnologia delle costruzioni,costi,-75%,11,3,5,1,0,1,1,0,0,1,1,logikal,0.13B
53,writesonic,tech,Writesonic e' una piattaforma leader di intelligenza artificiale generativa che sta rivoluzionando la creazione di contenuti e la comunicazione,3.1M,7,75M,196B,5,78,seed,13.4M,100%,3,2021,San Francisco,California,North America,240K,sviluppo applicazioni piu veloci e sicure,tempi,-90%,2,20,10,6,5,0,2,0,4,4,8,Simplified,0.01B
54,beehiiv,tech,Beehiiv e' una piattaforma di newsletter via email che potenzia l'engagement del pubblico la crescita e la monetizzazione,49.7M,29,20M,20B,3,53,series,2M,+146%,3,2021,New York,New York,North America,154K,salvaguardare dati sensibili,costi,-80%,13,13,25,9,6,9,10,0,0,0,17,ConvertKit,0.1B
55,fyld,tech,FYLD migliora la produttivita  e la sicurezza fornendo accesso ai dati e capacita  di analisi degli stessi,28.2M,6,80M,6B,4,23,series,22.5M,+8%,5,2019,London,United Kingdom,Europe,177.5K,condividere news piu facilmente,clientela,+85%,9,15,22,8,3,6,3,0,3,0,3,Buildertrend,0.1B
56,supabase,tech,Supabase e' un'alternativa open-source a Firebase che fornisce un database PostgreSQL completo,116M,5,200M,71.2B,2,24,series,12.2M,+14%,4,2020,Singapore,Singapore,Asia,294K,permettere a robot di imparare come umani,tempi,-85%,5,40,16,2,2,17,6,0,0,2,3,Back4App,0.01B
57,dataships,tech,Dataships e' un'azienda di software e servizi per la privacy dei dati,3.81M,9,70M,28B,3,19,seed,2.2M,+5%,6,2018,Dublin,Ireland,Europe,44K,macchine virtuali per cloud,tempi,-90%,2,6,5,6,0,2,1,0,0,0,1,Osano,0.04B
58,6AM City,tech,6AM City e' un'azienda che opera nell'industria delle notizie e degli eventi,15.8M,6,70M,1.4B,2,33,series,28.5M,+22%,8,2016,Greenville,South Carolina,North America,166.8K,Abilita un'elaborazione piu accurata ed efficiente del linguaggio umano,tempi,-85%,14,2,17,31,11,3,2,0,0,1,4,Axios Local,0.2B
59,figure,tech,Figure e' un'azienda di robotica e intelligenza artificiale che si concentra sullo sviluppo di robot umanoidi,854M,20,2.6B,60B,10,1,series,28M,+1342%,2,2022,Sunnyvale,California,North America,1.7M,ai sviluppata per prendere decisioni in un ambiente complicato e dinamico,velocita ,+90%,10,57,28,0,5,16,22,3,2,0,2,LendingClub,0.2B
60,CoreWeave,tech,CoreWeave sviluppa infrastrutture cloud progettate per fornire potenza di calcolo a progetti e blockchain,3.97B,24,7B,579B,5,26,series,30M,+177%,7,2017,Roseland,New Jersey,North America,1.7M,interazioni piu realistiche,autenticita ,+90%,33,115,28,15,0,183,8,0,0,13,8,Lambda Labs,1.5B
61,Hugging Face,tech,fornisce piattaforma per creare condividere e collaborare su modelli e applicazioni,398.92M,41,4.5B,52B,8,54,series,85.2M,+42%,8,2016,Paris,France,Europe,999K,contenuti di alta qualita  velocemente,velocita ,+90%,25,139,39,24,9,21,8,0,21,7,0,OpenAI,60B
62,Shield AI,tech,Shield AI opera come azienda di tecnologia della difesa che costruisce piloti artificiali per aeromobili,1071M,14,2800M,196B,6,15,series,251.7M,+12%,9,2015,San Diego,California,North America,2.25M,generare video da testi,tempi,-95%,141,254,61,17,0,69,13,26,13,27,0,Anduril,8.5B
63,Character.AI,tech,Character.AI progetta e sviluppa applicazioni conversazionali,190M,6,5B,196B,3,85,series,14M,+213%,3,2021,menlo park,California,North America,300K,Command R+ un modello di linguaggio avanzato,precisione,+90%,5,66,7,3,3,7,13,0,5,12,0,AI Dungeon,0.04B
64,writer,tech,Writer e' una piattaforma di intelligenza artificiale (AI) generativa che si concentra sull'aumentare la produttivita  aziendale,144.6M,31,500M,196B,4,56,series,79.8M,+308%,9,2015,San Francisco,California,North America,938K,computazione piu veloce e efficente,velocita ,+90%,34,42,40,53,13,12,27,0,9,17,24,Grammarly,13B
65,Runway ML,tech,Runway e' una societa  di ricerca sull'IA applicata che si concentra sull'avanzamento della creativita  nei settori dell'arte e dell'intrattenimento,236.5M,11,500M,196B,5,10,series,48.7M,+117%,6,2018,New York,New York,North America,493K,applicazione con efficenza di costi,costi,-50%,26,47,23,12,18,6,5,0,0,8,6,Sona,0.02B
66,Cohere,tech,Cohere fornisce accesso a modelli avanzati di lingua ampia e strumenti di NLP tramite un'unica API facile da usare,471.25M,19,2.1B,196B,17,39,series,33.9M,+117%,5,2019,Toronto,Canada,North America,1.8M,personaggi piu realistici,tempi,-80%,47,209,54,21,18,253,22,172,48,25,0,OctoML,0.13B
67,Lightmatter,tech,Lightmatter si concentra sul calcolo fotonico nell'industria tecnologica,422M,12,1.2B,79B,25,12,series,66.2M,+36%,7,2017,Boston,Massachusetts,North America,577K,piu accurate conversazioni umane,errori,-85%,6,91,13,6,15,12,5,0,6,9,0,Celestial AI,0.4B
68,pinecone,tech,Pinecone sviluppa un database vettoriale che facilita il collegamento dei dati aziendali con modelli AI generativi,138M,5,750M,197B,10,20,series,26.6M,+160%,5,2019,San francisco,California,North America,595K,accesso veloce e accurato alle informazioni,tempi,-90%,11,80,21,20,4,15,4,0,0,17,0,Weaviate,0.15B
69,Inworld,tech,e' uno strumento per la creazione di npc in giochi,117M,25,500M,197B,5,29,series,15.8M,+57%,3,2021,Mountain View,California,North America,298K,interazioni piu personalizzate,tempi,-70%,5,60,22,0,12,8,2,0,0,3,0,Soul Machines,0.13B
70,Imbue,tech,e' un laboratorio di ricerca che addestra modelli fondamentali per sviluppare agenti di intelligenza artificiale,232M,12,1B,197B,3,4,series,1.6M,+76%,6,2018,San Francisco,California,North America,216K,processi di vendite piu veloci,errori,-90%,3,20,15,2,3,3,5,0,6,4,0,OpenAI,80B
71,Pryon,tech,Pryon e' un'azienda di intelligenza artificiale che si concentra sulla gestione delle conoscenze aziendali,158M,37,500M,196B,25,3,series,24.2M,+140%,7,2017,Raleigh,North Carolina,North America,538K,interazioni piu umane,realismo,+90%,12,56,29,32,0,22,3,0,15,5,3,Glean,2.2B
72,Together AI,tech,Together AI e' una piattaforma basata su cloud progettata per la costruzione di intelligenze artificiali generative,228M,37,1.3B,196B,10,14,series,8.6M,+223%,2,2022,San Francisco,California,North America,201K,manutensioni piu efficenti,efficenza,+85%,2,24,13,3,0,11,2,0,13,2,0,Sarvam AI,0.05B
73,Adept,tech,Adept AI e' un laboratorio di ricerca e sviluppo di prodotti basati sull'apprendimento automatico,415M,21,1B,196B,5,3,series,11.1M,+88%,2,2022,San Francisco,California,North America,182K,video piu efficenti con meno costi,tempi,-90%,5,35,16,0,4,5,1,0,4,8,0,Zippin,0.045B
74,ElevenLabs,tech,ElevenLabs e' una societa  di ricerca che sviluppa software di sintesi vocale basato sull'IA per creatori e editori,101M,15,1.1B,196B,7,44,seed,12.6M,+210%,2,2022,New York,New York,North America,207K,Analisi accurata ed efficiente dei dati,tempi,-95%,8,19,23,5,10,10,22,0,4,7,6,Sarvam AI,0.04B
75,MaintainX,tech,MaintainX e' un fornitore di piattaforme di digitalizzazione degli ordini di lavoro e delle procedure per team industriali e di prima linea,103.8M,19,1B,430B,6,31,series,71.8M,117%,6,2018,San Francisco,California,North America,918K,previsioni delle vendite efficenti,crescita,+75%,41,66,35,165,13,37,15,0,0,15,21,Gryphon.ai,0.02B
76,Synthesia,tech,Synthesia consente alle aziende di generare video personalizzati a partire da testo semplice,155M,21,1B,196B,5,26,series,62.8M,+99%,7,2017,London,United Kingdom,Europe,833K,sviluppo app piu efficente,tempi,-95%,34,87,40,56,27,26,7,0,11,20,46,HeyGen,0.4B
77,unlearn.ai,tech,Unlearn.AI combina intelligenza artificiale gemelli digitali e metodi statistici innovativi,130M,12,265M,196B,12,19,series,12.9M,+23%,7,2017,San Francisco,California,North America,215K,controllo qualita  efficente e accurato,tempi,-85%,5,25,24,0,0,14,9,0,13,0,0,Aitia,0.3B
78,Upwind,tech,Upwind sfrutta i dati di runtime per proteggere l'infrastruttura cloud,28M,3,300M,300B,6,11,seed,23.1M,+242%,2,2022,Tel Aviv,Israel,Asia,266K,flussi di lavoro efficenti e snelli,tempi,-90%,4,48,11,10,10,21,7,2,10,5,0,Armo,0.1B
79,apkudo,tech,aiuta le aziende a gestire dispositivi connessi per massimizzare il loro valore,67M,10,300M,3B,38,18,series,79.4M,+23%,13,2011,Baltimore,Maryland,North America,501K,assistenza piu efficente e personalizzata,efficenza,+80%,13,59,27,21,5,28,9,17,6,4,26,Kobiton,0.04B
80,uveye,tech,UVeye sviluppa sistemi di ispezione automatizzati per veicoli utilizzando intelligenza artificiale e hardware proprietario,195.5M,16,800M,82B,11,24,series,47.8M,+18%,10,2014,Teaneck,New Jersey,North America,517K,linguaggio piu umano e comprensibile,errori,-85%,25,58,24,22,7,42,7,10,7,12,9,Claim Genius,0.013B
81,linear,tech,linear permette agli utenti di sviluppare software e tracciare bug,52.2M,20,400M,583B,5,18,series,11.5M,+78%,5,2019,Covina,California,North America,194K,permette piu efficente ed effettiva crescita,acquisti,+85%,11,27,9,6,6,4,3,0,0,4,8,ClickUp,4B
82,mangoboost,tech,MangoBoost e' specializzato nello sviluppo di soluzioni di accelerazione server avanzate a stack completo,65.72M,9,300M,301B,2,10,series,7.4M,+65%,2,2022,washington,Washington,North America,144K,previsione di vendite piu accurate,vendite,+92%,5,44,8,0,0,4,1,1,2,0,0,Kalray,0.15B
83,AI 21,tech,AI21 Labs e' specializzata nello sviluppo di sistemi di intelligenza artificiale con una capacita  senza precedenti di comprendere e generare linguaggio naturale,336M,14,1.4B,196B,7,39,series,42.1M,+47%,7,2017,Tel-Aviv,Israel,Asia,662K,creazione di contenuti piu efficente,tempi,-90%,21,98,26,26,15,40,6,0,17,10,8,OpenAI,60B
84,Bending Spoons,tech,Bending Spoons si concentra sullo sviluppo di software innovativi,571M,31,2.6B,196B,202,18,series,85.8M,+15%,11,2013,Milano,Italia,Europe,1.1M,ricerca delle minacce e risposta a incidenti,efficenza,+85%,24,194,42,0,30,75,16,0,0,29,16,Allied Vision,29B
85,Enable,tech,Enable e' una startup che sviluppa un software basato su cloud per la gestione dei rimborsi aziendali business-to-business,274M,11,1.1B,14B,17,25,series,158M,+35%,8,2016,San Francisco,California,North America,1.8M,accessibilita  video efficente e precisa,tempi,-90%,50,114,75,209,0,137,22,0,0,23,64,PROS Holdings,1.4B
